task,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p1,2524744,2525422,2525238,2525289,2525238,2525289,2525238,2524010,2523988,20090287,32162693,32162671,32162679,32162671,32162679,32162667,32162693,32162661,32162684,32162662
p2,39851328,5316528,5317846,5316452,5316566,5316613,29738233,34955135,34955143,34955135,34955133,34955132,34955134,34955131,34955143,34955125,34955138,34955126,34955138,34955126
p3,75488673,4877404,4771806,25406523,32458588,32458594,32458597,32458594,32458588,32458589,32458587,32458589,32458597,32458584,32458592,32458584,32458592,32458584,32458598,32458589
p4,110082830,1308405,1308218,1308210,1308218,1308218,1308218,1308210,1308210,1308210,1308210,1308218,1308210,1308210,1308210,1308210,1308210,1308218,1308210,1308355
p5,179134026,26044025,26043752,26043747,26043755,26043755,26043751,26043746,26043746,26043746,26043750,26043751,26043746,26043746,26043746,26043746,26043750,26043751,26043746,26043895
p6,222618150,8555724,8554779,8554776,8554781,8554783,8554778,8554773,8554773,8554771,8554778,8554778,8554773,8554773,8554773,8554771,8554778,8554778,8554771,8554923
p7,280844882,38865883,38864868,38864863,38864866,38864870,38864865,38864860,38864863,38864855,38864865,38864865,38864860,38864860,38864863,38864855,38864865,38864868,38864855,38865010
p8,312027003,12353146,12351476,12351469,12351475,12351478,12351471,12351471,12351468,12351463,12351473,12351473,12351468,12351471,12351468,12351465,12351474,12351473,12351465,12351616
p9,367167386,44528628,44528231,44528211,44528231,44528211,44527814,44528211,44528231,44528211,44527814,44528211,44527695,44527791,44511531,44527814,44511968,44511238,44527875,44511968
