task,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,76.3,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2
p2,62.2,9.0,9.0,9.0,21.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7,132.7
p3,116.5,4.9,72.1,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9
p4,173.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
p5,358.7,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1
p6,424.3,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4
p7,590.8,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4,138.4
p8,638.9,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
p9,798.0,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4,125.4
