task,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p1,2524709,2524943,2524756,2524783,2524756,2523979,2523957,76264783,126248005,126247988,126248005,126247993,126248010,126247988,126248010,126247988,126248010,126247989,126248010,126247993
p2,62203394,8989469,8990842,8990740,21723055,132713007,132713113,132713109,132713112,132713114,132713117,132713109,132713117,132713109,132713118,132713109,132713117,132713114,132713112,132713109
p3,116519949,4877334,72060775,127945299,127945368,127945366,127945369,127945369,127945373,127945364,127945372,127945369,127945373,127945365,127945372,127945369,127945368,127945365,127945372,127945370
p4,173015759,1308350,1308194,1308193,1308193,1308193,1308198,1308193,1308193,1308194,1308198,1308193,1308193,1308198,1308193,1308193,1308193,1308198,1308194,1308338
p5,358700749,120144273,120144055,120144050,120144050,120144050,120144055,120144050,120144050,120144055,120144055,120144050,120144050,120144055,120144050,120144050,120144050,120144055,120144055,120144196
p6,424256589,17351074,17350185,17350181,17350184,17350177,17350185,17350184,17350179,17350186,17350186,17350179,17350181,17350185,17350184,17350179,17350179,17350186,17350186,17350325
p7,590783479,138352583,138351641,138351632,138351641,138351631,138351641,138351637,138351636,138351641,138351637,138351636,138351632,138351641,138351641,138351631,138351636,138351641,138351637,138351781
p8,638885814,25081897,25080303,25080295,25080302,25080294,25080302,25080298,25080299,25080303,25080298,25080298,25080295,25080304,25080305,25080289,25080300,25080302,25080298,25080442
p9,798014122,125386890,125386078,125386054,125386078,125386054,125386078,125386054,125386078,125386054,125385660,125386054,125385687,125385638,125385903,125385638,125385839,125385842,125385862,125369358
