task,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p1,2524741,2524977,2524786,2524813,2524786,2524813,2524786,2524813,2524786,2524813,2524786,2524813,2524786,2524813,2524786,2524813,2524786,2524813,2524786,2524813
p2,65903878,15688621,15688338,15688364,15688338,15688363,15688338,15688363,15688338,15688364,15688338,15688363,15688338,15688363,15688338,15688363,15688338,15688363,15688338,15688363
p3,117222699,11215207,11216483,11216420,11215299,11215321,11215299,11215321,11215299,11215321,11215300,11215321,11215300,11215321,11215300,11215321,11215300,11215321,13412489,14800525
p4,169474604,1308816,1308865,1308873,1308873,1308873,1308865,1308873,1308873,1308865,1308873,1308873,1308865,1308873,1308873,1308865,1308873,1308828,1308825,1308973
p5,238525805,3378511,3378331,3378336,3378336,3378336,3378331,3378336,3378336,3378331,3378336,3378336,3378331,3378336,3378336,3378331,3378336,3378291,3378291,3378436
p6,304675078,8555365,8554503,8554512,8554508,8554512,8554503,8554512,8554508,8554507,8554508,8554512,8554503,8554512,8554508,8554507,8554508,8554467,8554463,8554612
p7,362901808,21579395,21578456,21578468,21578465,21578467,21578460,21578466,21578467,21578462,21578462,21578468,21578462,21578467,21578462,21578463,21578467,21578422,21578417,21578567
p8,411370107,12352792,12351193,12351209,12351201,12351209,12351199,12351202,12351207,12351201,12351200,12351208,12351200,12351206,12351202,12351201,12351208,12351160,12351159,12351304
p9,466510942,12593075,12593098,12593075,12593098,12593075,12592681,12593492,12592681,12593075,12593098,12592658,12592589,12576418,12593075,12576395,12576395,12576395,12576395,12576395
